,Father,Son
p0161,65.56855,71.44929
p0162,66.78957,71.18676
p0163,66.91193,71.66276
p0164,68.1714,71.39516
p0165,67.50102,70.73612
p0166,67.83492,71.2608
p0167,68.95255,71.04721
p0168,69.26,71.2592
p0169,68.74223,70.89486
p0170,69.74288,71.31732
p0171,70.29942,71.55712
p0172,70.04402,71.17701
p0173,70.23559,71.03412
p0174,70.88075,71.37275
p0175,71.19091,71.64741
p0176,72.37396,71.1205
p0177,73.03345,70.91756
p0178,74.8083,71.66455
p0179,67.39521,72.39198
p0180,67.31523,71.87928
p0181,67.77952,72.34482
p0182,69.33827,72.17265
p0183,68.72404,72.52078
p0184,69.98991,71.98836
p0185,69.75383,72.34482
p0186,70.65942,72.45347
p0187,71.10882,72.26945
p0188,72.4811,71.96844
p0189,72.4801,72.18169
p0190,67.52214,72.7864
p0191,68.23931,73.0414
p0192,68.7997,72.87858
p0193,69.89568,73.17304
p0194,71.48641,73.63274
p0195,70.76482,72.88245
p0196,71.9137,73.18148
p0197,63.08399,74.3209
p0198,68.23241,74.40727
p0199,70.05787,73.76791
p0200,70.83996,73.92119
p0201,72.56944,73.75503
p0202,67.93353,75.56214
p0203,67.54033,75.70222
p0204,72.79855,77.21338
p0205,62.67482,61.28882
p0206,68.19196,74.28343
p0207,65.07215,70.93102
p0208,73.42952,75.34802
p0209,62.94125,61.78758
p0210,62.53667,64.00009
p0211,69.90248,62.4658
p0212,71.07217,73.70465
p0213,71.11059,66.3495
p0214,69.48402,62.20543
p0215,70.18338,65.421
p0216,65.46124,63.9922
p0217,62.04073,62.78458
p0218,63.60063,63.52486
p0219,65.60613,63.49966
p0220,68.02969,62.89658
p0221,61.81571,63.72784
p0222,63.78886,63.73231
p0223,64.89023,64.39579
p0224,65.79072,63.70072
p0225,66.42371,64.44796
p0226,68.80877,64.2795
p0227,61.76521,65.18412
p0228,64.30302,65.10118
p0229,63.69064,65.56277
p0230,64.99662,64.94454
p0231,65.34899,65.14227
p0232,64.81278,65.16843
p0233,65.71736,65.58149
p0234,66.03148,65.63474
p0235,67.04912,64.87191
p0236,67.77522,65.4176
p0237,69.04964,64.7231
p0238,62.1833,65.84559
p0239,62.76393,65.77333
p0240,63.88391,66.67371
p0241,65.41055,66.54726
p0242,64.62347,66.43228
p0243,65.64621,66.3326
p0244,66.16257,66.24935
p0245,65.99538,66.39759
p0246,65.79786,66.69366
p0247,67.42936,66.22114
p0248,67.11933,66.43499
p0249,67.32907,66.65758
p0250,67.86233,65.76873
p0251,68.31609,66.20784
p0252,67.96359,66.30166
p0253,68.68615,65.81894
p0254,71.18085,66.34562
p0255,62.4296,66.88369
p0256,62.88524,66.8162
p0257,64.07313,67.36245
p0258,63.88597,67.68308
p0259,64.8272,67.19885
p0260,65.39653,67.26903
p0261,64.77344,67.45131
p0262,68.66581,68.95907
p0263,65.19783,62.013
p0264,64.32621,64.10658
p0265,66.08278,66.00879
p0266,69.01679,65.77796
p0267,64.50194,66.94446
p0268,66.07654,66.81229
p0269,65.73631,67.01431
p0270,66.45485,67.43705
p0271,65.63018,66.8442
p0272,66.39423,67.25391
p0273,67.33687,67.52273
p0274,66.83938,67.17782
p0275,66.69739,67.6068
p0276,67.34708,66.8991
p0277,67.35319,66.74675
p0278,67.93575,67.16928
p0279,67.76608,67.23833
p0280,68.11569,66.75589
p0281,68.2548,66.79828
p0282,68.83427,67.488
p0283,69.40758,67.1104
p0284,69.32068,67.06455
p0285,70.48,66.93899
p0286,70.06429,67.54723
p0287,70.63764,66.85662
p0288,62.41134,67.70971
p0289,63.15274,67.88296
p0290,63.51409,68.66534
p0291,63.91446,68.58164
p0292,64.61683,68.44493
p0293,64.86185,68.41199
p0294,65.91332,68.44665
p0295,66.1992,68.38258
p0296,66.45978,67.92987
p0297,65.50286,68.3033
p0298,66.87795,67.97479
p0299,67.0791,68.18304
p0300,66.83256,68.57984
p0301,67.18231,68.56974
p0302,66.51763,67.81854
p0303,66.95295,67.8796
p0304,66.63586,68.22794
p0305,68.18453,68.01258
p0306,67.60565,67.85023
p0307,68.27918,67.80077
p0308,67.97994,68.59968
p0309,69.00094,68.08671
p0310,69.31139,67.87656
p0311,68.88641,68.47849
p0312,68.94824,68.60006
p0313,69.42186,68.07838
p0314,69.49516,68.08199
p0315,70.34647,67.73211
p0316,69.92358,68.4132
p0317,70.69078,68.59541
p0318,70.56571,68.28458
p0319,72.40997,68.06489
p0320,72.47685,68.41445
p0321,62.72118,69.36998
p0322,63.9001,69.00435
p0323,64.50433,69.37297
p0324,64.81813,68.89496
p0325,65.37582,69.37382
p0326,65.82612,69.34415
p0327,66.29436,68.96686
p0328,65.81042,69.59887
p0329,66.80854,69.24597
p0330,67.16724,69.68301
p0331,67.30525,68.90541
p0332,67.54577,69.07283
p0333,67.86855,69.03297
p0334,68.35003,69.18202
p0335,67.60818,69.64233
p0336,68.48397,68.82818
p0337,68.56724,69.24165
p0338,69.07405,69.10265
p0339,68.56831,68.98512
p0340,69.15373,69.31551
p0341,68.60744,69.20435
p0342,68.5443,68.93765
p0343,69.65536,69.36661
p0344,70.41632,68.71181
p0345,69.97528,68.75662
p0346,70.26613,69.35439
p0347,71.31667,69.42891
p0348,71.29178,69.52003
p0349,72.59442,69.2275
p0350,64.40268,69.95069
p0351,64.9127,69.9199
p0352,66.34756,69.98123
p0353,66.04291,69.74222
p0354,65.69477,69.82326
p0355,66.71512,69.90223
p0356,66.64971,70.2992
p0357,68.33241,69.83745
p0358,67.94335,69.94847
p0359,67.96734,70.27479
p0360,68.27657,70.67752
p0361,68.75008,70.38903
p0362,69.05441,70.37578
p0363,69.00755,70.60668
p0364,69.39488,70.16921
p0365,69.7628,69.85223
p0366,69.6464,70.23353
p0367,70.45427,70.28373
p0368,69.89852,70.33881
p0369,70.984,69.81443
p0370,71.22015,70.54739
p0371,71.45442,69.96746
p0372,71.60966,69.73702
p0373,73.20296,69.8604
p0374,63.89132,70.87111
p0375,65.99384,71.36657
p0376,66.0424,71.1878
p0377,67.47658,70.75001
p0378,66.68527,70.72998
p0379,68.27034,71.32092
p0380,67.72898,70.88794
p0381,68.28372,70.9085
p0382,68.39453,70.87662
p0383,69.12925,71.19803
p0384,69.10844,71.31925
p0385,69.74196,71.22916
p0386,69.9987,71.35939
p0387,69.56148,71.60205
p0388,69.97779,70.97309
p0389,70.88691,71.1886
p0390,70.64687,71.40319
p0391,72.26404,71.39524
p0392,71.50569,70.88752
p0393,73.01402,71.27449
p0394,66.20254,72.10289
p0395,67.26312,72.03197
p0396,67.8086,71.9969
p0397,69.08284,71.72577
p0398,69.35107,71.92914
p0399,69.59962,72.20518
p0400,70.08948,72.29401
p0401,70.18385,72.5854
p0402,71.26955,72.04673
p0403,72.07717,71.80541
p0404,72.33894,71.80464
p0405,67.06776,73.06559
p0406,67.85929,73.44548
p0407,69.07274,73.19223
p0408,69.59893,73.37471
p0409,69.73728,73.22554
p0410,70.54066,72.88357
p0411,72.40962,72.77826
p0412,72.78889,73.26989
p0413,68.10144,73.96165
p0414,68.6106,74.64342
p0415,71.293,73.92565
p0416,72.09445,74.58767
p0417,74.69236,74.31029
p0418,71.16246,75.10003
p0419,68.30804,77.15504
p0420,60.41857,60.78204
p0421,63.94459,62.36303
p0422,63.06849,66.40186
p0423,63.98036,58.50708
p0424,73.89524,70.00052
p0425,72.03687,70.99433
p0426,61.02471,64.96417
p0427,65.39914,70.47639
p0428,71.96564,69.23383
p0429,71.29643,64.90184
p0430,65.15837,68.7749
p0431,68.90263,69.85805
p0432,64.45192,62.52373
p0433,63.99469,63.28805
p0434,66.46124,63.52861
p0435,67.12556,62.87456
p0436,62.27941,63.91754
p0437,63.8488,64.32325
p0438,65.43612,64.22405
p0439,65.62145,64.59643
p0440,66.16956,64.28548
p0441,67.62675,63.78835
p0442,60.21393,65.66404
p0443,62.99378,64.80838
p0444,63.57239,65.63528
p0445,65.15088,64.74897
p0446,65.13462,64.79081
p0447,64.79732,65.10988
p0448,66.24856,65.55215
p0449,66.22743,65.30083
p0450,66.6056,65.1426
p0451,67.99167,65.09433
p0452,69.04862,64.81397
p0453,62.12902,65.95058
p0454,63.16227,66.37511
p0455,64.45497,66.38624
p0456,63.75483,66.31904
p0457,64.63959,65.80919
p0458,64.59106,66.09556
p0459,66.06003,66.49077
p0460,65.98544,66.32632
p0461,65.66176,66.59779
p0462,67.11501,66.00909
p0463,67.31302,66.45585
p0464,67.16149,66.00818
p0465,68.38679,66.46605
p0466,67.64175,66.37783
p0467,67.55466,66.34685
p0468,68.53614,66.31558
p0469,70.02702,66.62303
p0470,61.07412,66.79229
p0471,62.72387,67.5336
p0472,64.28642,67.15587
p0473,64.11073,66.78051
p0474,63.68318,67.25544
p0475,64.68393,66.79006
p0476,64.66753,66.88298
p0477,67.95848,68.1121
p0478,64.60933,63.61572
p0479,66.07775,63.17978
p0480,65.25267,65.67211
p0481,69.67201,67.23403
p0482,65.33965,67.4089
p0483,65.54375,67.57913
p0484,66.1112,67.20643
p0485,66.22968,67.10018
p0486,66.00879,66.80557
p0487,66.03248,67.09308
p0488,65.94624,66.91372
p0489,67.09734,66.77528
p0490,66.98893,66.97572
p0491,67.38837,67.66639
p0492,67.4075,67.62089
p0493,67.31108,67.66841
p0494,68.27151,67.32572
p0495,68.33586,67.04153
p0496,67.56752,66.96445
p0497,68.23182,67.07223
p0498,69.07604,67.169
p0499,68.77033,67.48077
p0500,70.49154,67.67057
p0501,70.00767,66.86465
p0502,69.52007,67.04437
p0503,61.50617,67.72523
p0504,62.93875,68.52969
p0505,64.10318,67.8741
p0506,63.85157,67.84693
p0507,65.08731,68.26632
p0508,64.62588,68.18364
p0509,65.8912,68.55723
p0510,66.24386,67.77137
p0511,65.66031,67.92976
p0512,66.05344,67.72522
p0513,66.30711,67.98916
p0514,67.15303,68.0679
p0515,66.90986,67.772
p0516,66.89436,68.11035
p0517,66.56566,68.16623
p0518,67.23789,68.61054
p0519,67.05684,68.2893
p0520,67.94515,68.38263
p0521,67.94026,68.6212
p0522,67.84234,68.27802
p0523,67.91887,67.93914
p0524,68.63961,67.7105
p0525,68.60477,68.351
p0526,69.04036,68.14712
p0527,69.03336,67.97421
p0528,69.12497,68.23682
p0529,68.53779,68.05699
p0530,70.24335,68.49856
p0531,69.84308,68.58894
p0532,69.90057,67.74098
p0533,71.48946,68.69765
p0534,72.37013,68.63531
p0535,71.94413,68.37844
p0536,61.01904,69.11352
p0537,63.0108,69.35385
p0538,64.5793,69.5135
p0539,65.39658,69.11
p0540,64.84995,69.64324
p0541,65.54542,69.40655
p0542,65.56421,69.18575
p0543,66.09747,68.80709
p0544,67.40602,69.11679
p0545,66.5839,69.02706
p0546,67.41035,69.05703
p0547,67.21634,69.14581
p0548,68.23175,68.7308
p0549,67.88053,68.9798
p0550,68.0153,68.95303
p0551,67.69332,69.1639
p0552,68.85462,68.81649
p0553,68.73264,68.73746
p0554,69.0711,69.00102
p0555,68.79964,69.28222
p0556,68.79876,69.37676
p0557,69.32241,68.90879
p0558,69.60923,69.32318
p0559,69.76071,69.63872
p0560,70.1611,69.43581
p0561,70.12109,68.97885
p0562,71.10802,69.54252
p0563,71.44164,68.73497
p0564,71.75006,69.20127
p0565,64.35591,70.36167
p0566,65.16253,70.10118
p0567,66.09529,70.39507
p0568,65.78674,70.03877
p0569,65.53927,69.76556
p0570,66.71703,70.39131
p0571,67.17284,70.0372
p0572,67.16853,70.25908
p0573,68.06061,69.87081
p0574,67.85988,70.69845
p0575,68.1968,70.25756
p0576,69.29537,69.7177
p0577,68.84067,70.31993
p0578,69.18095,69.95735
p0579,68.69659,69.72691
p0580,69.45833,70.22698
p0581,70.0483,70.02038
p0582,69.6916,70.32035
p0583,70.20658,70.39947
p0584,70.79086,69.78074
p0585,70.87977,69.7598
p0586,71.30702,70.53827
p0587,72.3266,70.03449
p0588,72.7824,70.59135
p0589,64.40052,71.13378
p0590,64.89121,71.15371
p0591,65.84506,71.03018
p0592,67.35461,70.93936
p0593,67.44953,70.78603
p0594,67.86439,71.50695
p0595,67.92443,71.57023
p0596,68.49998,70.83563
p0597,67.60602,70.96118
p0598,69.37288,71.55428
p0599,69.34931,71.08274
p0600,69.48306,71.49587
p0601,70.21887,71.36997
p0602,70.02161,71.49891
p0603,69.83698,71.01177
p0604,69.6041,71.62784
p0605,71.49829,71.36701
p0606,72.16894,71.23426
p0607,72.41045,70.90129
p0608,72.52521,71.53087
p0609,64.6702,72.441
p0610,66.78417,72.5999
p0611,67.83401,71.79167
p0612,68.15907,72.00806
p0613,69.19301,72.01746
p0614,68.86739,72.44981
p0615,70.11126,71.92864
p0616,70.12007,72.0908
p0617,71.03691,72.57398
p0618,71.43196,72.53335
p0619,72.04564,71.78483
p0620,72.738,72.57594
p0621,68.02564,73.06795
p0622,69.04939,73.18852
p0623,68.86356,73.39371
p0624,69.63421,73.3754
p0625,71.24085,73.67679
p0626,71.95679,72.84789
p0627,72.89983,72.99608
p0628,65.86028,74.67822
p0629,68.48883,73.8507
p0630,70.72676,74.35692
p0631,72.34582,73.99906
p0632,72.59922,73.92525
p0633,68.82986,75.67784
p0634,73.49987,76.10484
p0635,70.0599,78.2476
p0636,67.9291,61.89619
p0637,64.66998,69.86215
p0638,60.7795,62.26801
p0639,74.94058,71.40839
p0640,70.64925,71.60925
p0641,60.91526,65.51351
p0642,65.28934,71.86574
p0643,71.362,71.16645
p0644,71.66893,64.53321
p0645,62.68868,65.25053
p0646,71.39326,69.62871
p0647,66.56302,65.10223
p0648,67.18788,61.03526
p0649,62.532,63.12132
p0650,64.85512,63.5968
p0651,66.94161,63.47848
p0652,62.3603,63.83162
p0653,63.58145,64.18388
p0654,65.44633,64.66888
p0655,65.00539,64.06363
p0656,66.43717,64.38072
p0657,66.6676,64.60295
p0658,59.4898,64.81735
p0659,63.00108,65.22864
p0660,64.0892,65.62354
p0661,64.0753,65.62755
p0662,64.52103,64.8584
p0663,65.19231,65.6482
p0664,66.30604,65.6904
p0665,66.03081,65.58218
p0666,66.83096,65.08945
p0667,68.19724,64.87234
p0668,68.6599,65.68794
p0669,61.29369,66.54461
p0670,63.26089,66.23255
p0671,63.86162,65.91034
p0672,64.13176,66.29882
p0673,64.81105,66.33603
p0674,64.55987,66.19024
p0675,66.19437,66.12728
p0676,66.5,66.1938
p0677,66.43436,65.82389
p0678,67.30468,66.61389
p0679,67.36559,66.45299
p0680,67.29162,66.25633
p0681,67.69874,66.53703
p0682,68.38221,66.28457
p0683,67.76712,65.90354
p0684,69.29587,66.61969
p0685,69.66477,66.59349
p0686,60.03436,67.30641
p0687,62.1356,67.41523
p0688,63.64047,67.51658
p0689,63.82278,66.94071
p0690,64.46555,67.11246
p0691,64.73798,66.99107
p0692,65.43021,66.94124
p0693,65.07381,68.06898
p0694,69.29517,67.47908
p0695,67.67996,63.00731
p0696,64.94267,67.40208
p0697,69.47933,68.75691
p0698,65.05963,66.90827
p0699,65.01253,67.28305
p0700,65.61963,67.15978
p0701,65.94819,67.12405
p0702,65.68803,67.07313
p0703,65.87689,67.17665
p0704,65.91481,66.74724
p0705,67.41946,66.81865
p0706,66.53833,67.43735
p0707,67.41995,67.37322
p0708,67.21977,66.96049
p0709,67.33721,67.40154
p0710,68.11283,66.91834
p0711,68.02017,66.93007
p0712,68.02829,66.78425
p0713,68.35139,66.7842
p0714,68.80254,67.15158
p0715,69.49307,67.45025
p0716,70.2297,67.68985
p0717,69.71997,67.13767
p0718,70.16651,67.60589
p0719,61.07369,67.96334
p0720,62.66947,68.65674
p0721,64.32254,68.42972
p0722,64.27362,68.01111
p0723,64.96148,68.61891
p0724,64.77222,68.50647
p0725,66.2365,67.77439
p0726,66.10686,68.09837
p0727,66.42772,68.19228
p0728,66.22727,68.54918
p0729,65.87574,68.59413
p0730,67.03017,68.65282
p0731,67.48545,68.40294
p0732,66.7367,68.54259
p0733,66.69181,68.59444
p0734,67.31766,67.87885
p0735,67.1219,68.0454
p0736,67.82592,67.96346
p0737,68.4376,68.55092
p0738,67.74551,68.07785
p0739,68.0934,67.93252
p0740,67.71665,68.5916
p0741,68.99349,67.90891
p0742,69.24616,68.63842
p0743,69.2828,68.6514
p0744,69.26254,68.40634
p0745,68.75605,68.19563
p0746,69.62519,68.3391
p0747,69.61942,68.13175
p0748,69.94715,67.79551
p0749,70.58916,68.24471
p0750,72.34058,67.96366
p0751,71.56142,68.02669
p0752,72.94457,68.07695
p0753,63.33777,69.23339
p0754,64.3445,69.22874
p0755,65.14077,68.9062
p0756,65.2424,69.33247
p0757,65.90397,69.53206
p0758,65.98763,69.02418
p0759,65.57065,69.26288
p0760,65.82733,69.55433
p0761,66.88576,69.3664
p0762,66.98594,68.96569
p0763,67.41537,69.33038
p0764,67.93319,69.10425
p0765,67.77812,69.29199
p0766,68.44999,69.26009
p0767,68.32281,68.71424
p0768,68.35148,69.48488
p0769,68.73678,69.48141
p0770,68.97673,68.88311
p0771,69.31931,68.83524
p0772,68.80442,69.42378
p0773,68.90434,68.82387
p0774,69.80381,69.06951
p0775,69.66712,69.18528
p0776,70.38052,69.26989
p0777,70.29892,68.83727
p0778,71.02634,69.11594
p0779,71.28432,69.39569
p0780,72.03259,68.70258
p0781,63.26539,70.39288
p0782,64.87623,70.49606
p0783,65.72722,70.11817
p0784,66.13831,69.75304
p0785,66.48902,70.25238
p0786,66.06395,70.28837
p0787,66.73532,69.71807
p0788,67.12329,70.13835
p0789,67.57161,70.41752
p0790,68.18286,69.91638
p0791,68.33868,69.7803
p0792,68.14658,69.90789
p0793,69.17022,70.29221
p0794,69.17597,70.20136
p0795,68.52789,70.42766
p0796,68.84874,70.40239
p0797,69.69833,70.65713
p0798,69.86528,69.7276
p0799,70.48646,70.45174
p0800,71.16238,70.52536
p0801,70.58946,70.45682
p0802,70.54353,70.52011
p0803,72.38576,70.25621
p0804,73.18522,70.32714
p0805,64.12344,71.39933
p0806,64.62855,71.03487
p0807,65.74244,71.61276
p0808,67.11563,70.90129
p0809,66.81497,71.36831
p0810,68.38001,71.46158
p0811,68.33835,71.22939
p0812,68.25066,71.59368
p0813,68.36488,71.6476
p0814,68.67873,71.33885
p0815,68.70293,71.13133
p0816,69.0466,71.52388
p0817,70.17375,70.95837
p0818,69.86849,71.48199
p0819,70.15821,70.85433
p0820,70.24204,71.41922
p0821,71.41811,71.30872
p0822,70.66031,71.22321
p0823,72.42614,71.4506
p0824,73.04341,70.76122
p0825,64.6891,72.65576
p0826,67.09928,71.96434
p0827,67.79858,72.3071
p0828,68.37299,72.2446
p0829,69.19364,72.38029
p0830,68.5938,72.04211
p0831,69.86969,71.77644
p0832,70.17952,72.54877
p0833,70.51811,72.57381
p0834,71.00743,71.90584
p0835,71.83086,72.62022
p0836,72.81121,72.4218
p0837,67.95451,73.13823
p0838,67.81317,73.60773
p0839,69.32812,73.2649
p0840,70.45127,73.0769
p0841,71.38916,73.69792
p0842,72.31022,73.60551
p0843,71.8821,72.87015
p0844,64.61601,73.90142
p0845,67.75382,74.32431
p0846,69.90335,73.87776
p0847,70.87039,74.20972
p0848,72.71533,74.47833
p0849,69.03942,75.07304
p0850,72.44463,76.3516
p0851,69.07253,78.36479
p0852,70.1758,61.22021
p0853,72.37219,72.63356
p0854,59.63777,64.94291
p0855,73.27737,73.02984
p0856,68.12621,71.81569
p0857,63.15234,65.29123
p0858,66.00489,60.90911
p0859,71.45303,72.131
p0860,68.1456,70.98853
p0861,65.25527,61.7019
p0862,70.41584,67.51436
p0863,68.38452,64.37789
p0864,61.89133,63.2825
p0865,64.98391,63.47892
p0866,66.21887,63.66235
p0867,59.48391,63.94637
p0868,62.77645,63.93831
p0869,63.86507,63.94722
p0870,64.56486,64.08187
p0871,65.60265,64.68702
p0872,66.28333,64.38337
p0873,70.55256,63.91132
p0874,62.14539,64.84282
p0875,64.37906,65.33216
p0876,64.35191,65.2375
p0877,64.91304,65.47348
p0878,65.33085,65.16309
p0879,65.17545,65.35727
p0880,66.10285,65.59545
p0881,66.05004,64.70258
p0882,67.38231,64.76966
p0883,67.83999,65.55892
p0884,70.27309,65.42338
p0885,63.19263,66.54624
p0886,63.66834,65.70133
p0887,64.12671,66.12315
p0888,64.71388,66.2678
p0889,65.14662,66.55539
p0890,65.94428,66.42398
p0891,65.67785,66.50633
p0892,65.95134,66.27712
p0893,67.30819,66.42142
p0894,66.69404,66.25827
p0895,66.56885,66.1285
p0896,66.80951,66.53558
p0897,68.24011,66.32575
p0898,67.5344,66.11991
p0899,68.4157,65.87925
p0900,69.09588,65.70978
p0901,70.81036,66.10198
p0902,61.68183,67.57237
p0903,63.04493,67.4361
p0904,64.34945,67.00761
p0905,63.89336,67.21048
p0906,65.48176,67.1921
p0907,64.726,67.39528
p0908,64.65128,67.44979
p0909,67.47271,68.18883
p0910,66.76701,62.74094
p0911,64.98147,66.34954
p0912,69.38684,65.69966
p0913,63.7123,68.36264
p0914,64.63358,67.52548
p0915,66.00037,67.24632
p0916,65.96621,67.21519
p0917,66.49751,67.45383
p0918,66.27177,66.93472
p0919,65.67892,67.6832
p0920,66.86814,66.97218
p0921,66.73495,66.73049
p0922,66.53357,66.75153
p0923,67.05051,67.4346
p0924,67.04958,66.92896
p0925,67.55908,67.49282
p0926,67.58076,66.93944
p0927,67.51942,67.03135
p0928,68.12592,66.91542
p0929,68.57465,66.97758
p0930,68.52484,67.14932
p0931,69.20286,67.53093
p0932,69.7551,67.52202
p0933,69.91868,67.27928
p0934,70.50329,67.56893
p0935,62.83528,67.75773
p0936,63.24504,68.10565
p0937,64.44602,68.49664
p0938,64.31819,68.5851
p0939,64.73521,67.85579
p0940,64.72352,68.60796
p0941,65.97741,68.19156
p0942,65.63739,68.25828
p0943,65.83449,68.15401
p0944,65.87064,68.18623
p0945,66.61001,68.16064
p0946,66.75821,68.6097
p0947,66.77012,68.34391
p0948,67.21373,68.65678
p0949,67.09047,68.51914
p0950,66.93359,67.72093
p0951,68.03852,67.96986
p0952,67.98476,67.75073
p0953,68.25046,68.09745
p0954,68.26078,68.64602
p0955,68.21235,68.2318
p0956,68.54029,68.18244
p0957,68.50469,68.15011
p0958,69.13248,68.13611
p0959,69.21981,68.10048
p0960,69.34385,68.53037
p0961,69.41153,68.37728
p0962,70.25056,68.17652
p0963,69.68641,67.7452
p0964,70.51091,67.93037
p0965,71.29598,68.25872
p0966,72.20218,68.33639
p0967,72.33929,68.27405
p0968,62.91628,69.5816
p0969,63.93525,68.70027
p0970,64.59851,68.93075
p0971,65.47401,68.78663
p0972,65.864,69.0649
p0973,66.30684,68.99285
p0974,65.77587,68.99516
p0975,66.48386,68.73929
p0976,67.31983,69.47357
p0977,67.39901,69.08392
p0978,67.05939,69.07281
p0979,68.45161,69.62286
p0980,67.7061,69.35683
p0981,68.08389,69.16149
p0982,67.58923,68.81413
p0983,67.80388,68.9529
p0984,69.25919,69.47561
p0985,69.05302,69.5506
p0986,68.70921,69.38889
p0987,69.02788,69.57241
p0988,68.94943,69.37092
p0989,68.81536,68.92229
p0990,69.91801,68.71081
p0991,70.45072,69.2671
p0992,69.96349,68.74473
p0993,69.75787,68.81509
p0994,71.38281,69.47472
p0995,71.08122,69.69307
p0996,72.74936,69.65334
p0997,65.26855,70.46902
p0998,66.01549,70.00607
p0999,65.5142,70.61711
p1000,65.62374,70.51318
